Naam	1985-1989	1990-1994	1995-1999	2000-2004	1983-2006
Alican (M)	4	13	9	15	46
Alihan (M)	0	4	25	29	65
Alistair (M)	5	9	9	4	31
Alje (M)	14	7	4	2	31
Alkan (M)	7	4	13	7	35
Allal (M)	9	7	5	3	32
Allan (M)	31	21	26	14	112
Allard (M)	176	171	153	127	707
Alle (M)	41	30	26	12	123
Allert (M)	8	8	9	6	37
Allon (M)	15	6	7	3	39
Almar (M)	37	12	17	10	93
Almer (M)	11	6	6	9	39
Almir (M)	21	9	14	9	59
Alon (M)	9	16	10	4	45
Aloys (M)	10	13	13	9	54
Aloysius (M)	23	22	15	12	87
Alp (M)	7	6	12	6	39
Alparslan (M)	13	11	26	13	74
Alpay (M)	0	9	21	24	63
Alper (M)	75	55	107	96	380
Alperen (M)	5	17	57	74	174
Alpha (M)	4	2	3	15	39
Alphons (M)	24	16	7	9	63
Alphonsus (M)	17	10	15	5	55
Alrik (M)	5	10	8	3	32
Altan (M)	10	12	16	30	82
Alvaro (M)	18	22	6	12	69
Alvin (M)	68	44	31	12	187
Alwin (M)	190	188	145	95	742
Amadou (M)	3	7	0	18	35
Amal (M)	36	24	15	4	86
Aman (M)	2	5	8	34	69
Amando (M)	11	12	14	0	40
Amar (M)	83	75	97	73	375
Amel (M)	14	6	20	4	56
Amer (M)	21	16	17	11	90
Amerik (M)	10	9	9	0	33
Amier (M)	5	4	10	9	33
Amiet (M)	14	0	5	0	28
Amin (M)	33	50	102	173	489
Amine (M)	58	100	168	300	746
Amir (M)	107	126	146	227	771
Amit (M)	40	20	12	9	111
Ammar (M)	20	17	16	26	102
Amon (M)	4	5	17	13	44
Amos (M)	11	9	17	20	65
Amr (M)	2	2	14	27	53
Amresh (M)	9	9	4	3	31
Amrish (M)	30	28	14	12	102
Amrit (M)	14	7	9	1	34
Amro (M)	8	6	5	9	33
Anand (M)	28	20	14	15	86
Anas (M)	34	52	57	131	333
Anass (M)	78	236	332	397	1179
Anco (M)	14	21	21	18	90
Anders (M)	4	8	9	13	43
Anderson (M)	8	10	5	2	31
Andor (M)	9	15	13	11	59
Andre (M)	56	58	27	17	201
Andrea (M)	10	13	5	5	40
Andreas (M)	430	284	201	118	1261
Andrei (M)	18	5	16	5	53
Andrej (M)	17	21	16	11	78
Andres (M)	27	18	24	21	110
Andrew (M)	233	236	146	94	831
Andries (M)	349	277	223	191	1274
Andro (M)	5	11	5	3	27
André (M)	399	258	174	109	1173
Andréas (M)	16	2	7	2	31
