Naam	1985-1989	1990-1994	1995-1999	2000-2004	1983-2006
Damiaan (M)	9	10	30	17	80
Damian (M)	38	120	1481	1671	4034
Damiano (M)	8	8	24	29	84
Damianus (M)	5	10	6	6	28
Damien (M)	49	91	112	157	475
Damion (M)	6	25	51	20	119
Damir (M)	49	39	13	14	137
Damiën (M)	47	99	179	234	668
Damon (M)	5	28	212	141	439
Damy (M)	22	56	75	34	197
Damyan (M)	1	4	12	17	41
Dan (M)	34	21	20	21	117
Dana (M)	8	6	4	8	30
Dane (M)	45	37	32	29	164
Dani (M)	22	11	535	772	1684
Danial (M)	12	13	15	11	59
Danick (M)	2	5	7	22	44
Daniek (M)	1	9	20	29	67
Daniel (M)	721	688	576	554	3089
Daniele (M)	12	6	3	6	36
Danijel (M)	23	11	4	6	53
Danilio (M)	1	0	4	20	31
Danillo (M)	4	8	16	12	45
Danilo (M)	40	61	112	143	428
Danilson (M)	12	3	4	6	31
Danique (M)	4	11	20	36	85
Danish (M)	3	14	16	17	61
Daniël (M)	2857	3353	3163	2885	14580
Danny (M)	3707	2831	2051	939	11436
Dano (M)	4	3	10	43	84
Dante (M)	7	18	58	159	335
Danté (M)	0	0	6	54	78
Dany (M)	16	7	32	52	123
Danyal (M)	0	9	10	15	38
Danyel (M)	1	9	4	13	29
Daoud (M)	5	11	10	17	54
Darcy (M)	4	18	7	2	35
Dardan (M)	1	8	19	7	37
Darian (M)	1	2	7	27	47
Dario (M)	41	80	135	133	448
Darius (M)	19	13	24	35	112
Darko (M)	19	12	10	8	62
Darnell (M)	8	10	38	35	98
Daron (M)	1	7	5	12	27
Darrel (M)	10	10	6	9	39
Darrell (M)	10	10	17	22	66
Darren (M)	27	53	95	92	297
Darryl (M)	80	136	121	47	421
Darshan (M)	6	6	8	22	49
Darwin (M)	22	26	17	15	97
Daryl (M)	69	73	53	13	229
Daryll (M)	14	15	11	5	51
Daud (M)	5	8	11	5	33
Dave (M)	933	896	1044	750	4114
Davey (M)	317	846	600	392	2289
Davi (M)	5	4	14	12	45
David (M)	2301	2251	2560	2154	11093
Davide (M)	11	24	14	17	83
Davie (M)	29	16	7	4	66
Davin (M)	4	3	9	13	39
Davud (M)	8	8	9	7	35
Davut (M)	19	14	18	11	70
Davy (M)	721	609	485	286	2353
Dawid (M)	12	20	14	5	69
Dax (M)	24	31	28	53	161
Deacon (M)	0	3	3	23	65
Dean (M)	70	160	267	363	1210
Declan (M)	0	25	18	37	98
Deejay (M)	0	5	7	23	42
Deen (M)	7	3	15	22	64
Deepak (M)	40	17	12	4	92
Dejan (M)	29	29	44	32	158
Delano (M)	87	172	422	506	1401
Demi (M)	11	58	92	44	218
Demian (M)	46	56	103	115	399
Demir (M)	3	8	9	11	45
Demis (M)	12	7	13	15	56
Demiën (M)	4	4	9	15	41
Demy (M)	24	64	75	45	221
Deni (M)	11	11	19	11	55
Denian (M)	8	6	10	3	31
Denilson (M)	7	1	7	13	30
Denis (M)	78	72	48	42	278
Deniz (M)	157	225	201	141	840
Denley (M)	2	1	2	11	29
Dennes (M)	13	7	3	3	32
Dennie (M)	228	102	58	25	544
Dennis (M)	5714	5333	3609	1617	19105
Denny (M)	212	169	106	59	672
Deny (M)	6	6	15	7	37
Denzel (M)	9	102	251	233	683
Denzell (M)	1	11	28	28	78
Deon (M)	6	14	18	18	62
Derck (M)	6	6	7	8	31
Derek (M)	125	116	97	95	502
Derk (M)	322	307	223	224	1289
Derk-Jan (M)	17	15	16	8	65
Derrick (M)	37	28	16	8	104
Derviş (M)	10	9	5	4	31
Desley (M)	5	108	124	73	349
Desmond (M)	106	116	51	35	333
Desney (M)	2	8	15	7	35
Destin (M)	0	2	4	19	40
Detlef (M)	13	7	2	3	27
Devano (M)	0	1	7	13	38
Devanté (M)	0	3	11	19	35
Devi (M)	17	11	16	20	73
Devin (M)	54	85	168	268	659
Devlin (M)	3	18	35	33	107
Devon (M)	12	51	96	123	338
Devran (M)	9	15	9	23	72
Devrim (M)	2	2	14	19	45
Dewi (M)	20	33	25	7	92
Dewy (M)	4	10	9	6	30
Dex (M)	18	29	47	53	169
Dexter (M)	42	73	56	39	230
Dhiradj (M)	6	7	5	4	29
Dhiraj (M)	8	4	11	3	27
Dian (M)	5	9	3	7	28
Diaz (M)	0	2	4	23	40
Dick (M)	226	175	108	51	670
Dicky (M)	18	15	9	7	60
Dico (M)	17	35	28	25	125
Didier (M)	79	105	113	128	484
Diede (M)	11	43	38	55	179
Diederick (M)	75	88	96	61	366
Diederik (M)	287	336	266	160	1209
Diego (M)	141	142	256	414	1198
Diemer (M)	5	5	3	7	30
Diesel (M)	0	0	2	9	31
Dieter (M)	15	27	20	18	90
Dik (M)	10	12	17	3	50
Dilan (M)	8	15	33	32	117
Dilano (M)	2	11	31	68	161
Dillan (M)	6	12	15	19	63
Dillen (M)	3	10	4	14	37
Dillon (M)	11	26	38	23	111
Dim (M)	1	2	12	19	48
Dimas (M)	1	7	7	13	31
Dimitri (M)	219	249	269	197	1065
Dimitrios (M)	29	19	15	10	85
Dimitris (M)	11	14	7	9	48
Dimitry (M)	13	23	31	25	104
Din (M)	3	2	3	12	30
Dinand (M)	19	30	31	181	494
Dinant (M)	27	22	24	25	127
Dinesh (M)	78	38	23	22	195
Dingeman (M)	43	36	15	23	136
Dingenis (M)	13	12	4	10	47
Dingenus (M)	7	6	10	6	33
Dinh (M)	6	13	9	9	40
Dino (M)	53	58	51	41	241
Dio (M)	9	9	17	18	63
Diogo (M)	5	6	7	10	36
Dion (M)	335	712	1120	824	3344
Dionisius (M)	11	11	0	4	38
Dionysius (M)	64	46	24	8	156
Dirk (M)	1933	1749	1499	1160	7560
Dirk-Jan (M)	117	98	65	52	396
Dirkjan (M)	17	21	7	3	68
Ditmar (M)	12	7	11	3	37
Divano (M)	0	5	13	33	68
Diyar (M)	2	5	18	32	76
Diégo (M)	9	22	31	42	124
Diëgo (M)	36	33	38	73	240
Djairo (M)	0	0	2	14	28
Djamel (M)	4	5	7	8	27
Django (M)	48	92	77	56	303
Djarno (M)	7	14	17	18	61
Djay (M)	0	2	7	12	32
Djayden (M)	0	0	0	9	43
Djen (M)	0	5	13	13	34
Djesse (M)	0	3	15	8	29
Djim (M)	8	29	23	22	97
Djimmy (M)	11	9	8	3	34
Djino (M)	3	7	10	8	34
Djoey (M)	4	18	14	3	45
Djonno (M)	0	12	7	7	27
Djordi (M)	5	7	49	13	80
Djordy (M)	19	38	77	39	176
Djuri (M)	26	9	1	1	50
Djurre (M)	15	30	45	36	160
Djustin (M)	1	2	9	14	45
Dmitri (M)	12	12	11	8	49
Doede (M)	14	16	4	18	65
Doeke (M)	16	19	24	28	108
Dogan (M)	14	20	16	10	70
Dogukan (M)	0	3	13	20	40
Dolf (M)	46	24	17	25	146
Domenico (M)	7	13	9	11	45
Domenique (M)	3	11	8	4	31
Dominggus (M)	5	9	4	6	28
Domingo (M)	7	10	8	12	43
Dominic (M)	165	186	162	111	748
Dominick (M)	26	39	49	37	171
Dominicus (M)	29	23	24	13	107
Dominiek (M)	9	13	8	8	42
Dominik (M)	33	29	17	20	118
Dominique (M)	366	461	247	139	1445
Don (M)	148	170	187	153	728
Donald (M)	86	70	31	15	235
Donato (M)	3	3	9	14	31
Donavan (M)	14	14	14	10	60
Donnie (M)	8	11	24	25	89
Donny (M)	284	448	364	218	1452
Donné (M)	3	4	9	7	28
Donovan (M)	178	151	153	97	648
Dorian (M)	18	31	37	61	176
Doron (M)	15	15	7	9	52
Dorus (M)	48	69	73	67	306
Douglas (M)	24	34	13	8	94
Douwe (M)	322	351	450	381	1752
Doğan (M)	20	16	25	17	83
Doğukan (M)	4	5	37	46	102
Dragan (M)	22	17	4	4	61
Driek (M)	5	3	9	11	37
Dries (M)	52	65	86	108	391
Driss (M)	44	43	24	34	190
Dré (M)	7	6	10	8	38
Duane (M)	32	27	22	9	109
Duc (M)	13	19	15	15	74
Duco (M)	66	160	128	177	633
Duke (M)	8	12	14	40	92
Duko (M)	4	3	6	14	42
Duncan (M)	86	176	332	478	1268
Duran (M)	21	20	20	11	91
Durk (M)	54	43	44	28	216
Durmus (M)	7	11	4	4	31
Durmuş (M)	17	14	15	7	65
Dursun (M)	15	14	8	6	53
Dustin (M)	69	142	111	101	497
Dusty (M)	17	42	11	2	88
Duuk (M)	3	11	10	50	113
Duy (M)	22	17	9	15	74
Dušan (M)	11	5	3	6	29
Dwayn (M)	3	9	9	4	27
Dwayne (M)	129	164	90	37	445
Dwight (M)	100	67	57	32	313
Dyami (M)	0	3	0	16	38
Dyan (M)	4	16	8	10	45
Dylan (M)	177	1736	2406	2511	7708
Dylano (M)	1	16	98	374	718
Dyllan (M)	0	15	20	19	61
Dyon (M)	51	155	156	177	615
Déjan (M)	0	2	10	15	29
Délano (M)	6	20	77	60	174
Earl (M)	28	8	1	0	59
Ebe (M)	3	8	12	8	42
Ebenezer (M)	9	8	9	10	41
Ebrahim (M)	5	6	6	5	28
Ebu (M)	6	11	4	9	37
Ebubekir (M)	25	28	18	19	99
Ed (M)	6	10	3	4	34
Eddie (M)	42	48	41	27	195
Eddo (M)	3	7	7	4	27
Eddy (M)	130	82	62	46	409
Edgar (M)	101	104	77	44	386
Edin (M)	40	19	29	9	120
Edis (M)	2	6	7	5	29
Edison (M)	13	11	7	7	44
Ediz (M)	1	1	7	14	28
Edmar (M)	10	9	5	1	27
Edmond (M)	7	16	11	7	53
Edmund (M)	13	6	2	3	32
Edo (M)	97	86	63	32	331
Edson (M)	36	24	11	9	97
Edu (M)	6	14	7	1	33
Eduard (M)	327	209	163	96	995
Eduardo (M)	22	25	17	19	111
Eduardus (M)	40	30	11	9	105
Edvin (M)	4	4	10	7	28
Edward (M)	200	178	116	86	690
Edwin (M)	1252	909	469	210	3545
Edwinus (M)	10	7	1	1	29
Edzard (M)	13	17	10	1	47
Eef (M)	17	28	8	29	102
Eelco (M)	274	152	42	31	674
Eelke (M)	112	66	49	39	324
Eelko (M)	24	8	5	3	58
Eeuwe (M)	10	10	6	4	34
Efe (M)	2	5	15	41	130
Efekan (M)	0	3	4	13	30
Efraim (M)	7	14	5	8	38
Efraïm (M)	10	10	13	8	54
Egbert (M)	344	223	156	127	1047
Egbertus (M)	40	19	18	6	101
Egemen (M)	6	10	7	6	37
Egidius (M)	24	11	10	5	64
Egon (M)	13	11	6	6	57
Ehsan (M)	18	8	5	3	49
Eibert (M)	29	24	11	18	101
Eimert (M)	11	11	19	4	55
Eise (M)	11	21	26	30	107
Eize (M)	9	14	7	9	47
Ekrem (M)	40	43	41	29	185
El (M)	65	42	33	32	232
El Hassan (M)	12	3	4	1	36
Elbert (M)	74	67	40	26	245
Elbertus (M)	13	26	6	5	65
Elco (M)	55	54	13	10	154
Eldert (M)	14	12	10	14	56
Eldin (M)	14	16	24	8	72
Elger (M)	16	11	1	4	39
Elgin (M)	5	5	6	9	31
Eli (M)	27	48	54	46	197
Elia (M)	3	6	14	20	56
Elian (M)	14	26	23	70	152
Elias (M)	98	159	196	199	771
Elif (M)	20	8	3	1	37
Elijah (M)	6	10	26	76	190
Elio (M)	15	9	8	15	55
Elisa (M)	3	9	7	13	39
Eliza (M)	30	30	15	17	108
Elko (M)	14	13	4	0	34
Elliot (M)	8	19	19	22	84
Elliott (M)	3	9	7	8	31
Elmar (M)	124	116	76	57	413
Elmer (M)	115	64	32	34	295
Elmo (M)	11	33	16	9	80
Elon (M)	7	11	12	8	49
Eloy (M)	33	63	63	41	213
Elroy (M)	114	186	94	54	522
Eltjo (M)	20	19	7	5	61
Elton (M)	34	30	14	9	112
Elvin (M)	45	35	20	20	135
Elvis (M)	50	47	22	34	192
Elwin (M)	119	108	71	37	395
Elyas (M)	1	8	11	11	40
Elzo (M)	21	8	4	7	48
Emad (M)	12	9	7	3	36
Emanuel (M)	54	61	44	69	302
Emerson (M)	5	4	6	5	28
Emiel (M)	547	638	624	414	2492
Emil (M)	51	64	99	97	377
Emile (M)	182	205	169	121	777
Emiliano (M)	7	11	4	13	42
Emilio (M)	16	66	72	68	253
Emilius (M)	9	8	7	4	35
Emin (M)	43	44	37	48	223
Emir (M)	49	51	51	160	410
Emircan (M)	0	2	4	51	68
Emirhan (M)	1	2	17	158	320
Emmanuel (M)	55	45	71	60	287
Emrah (M)	226	54	32	18	370
Emre (M)	142	515	480	495	1794
Emrullah (M)	28	25	19	8	90
Ender (M)	12	20	16	9	67
Endy (M)	3	6	13	4	28
Enes (M)	82	172	218	193	743
Engbert (M)	31	20	15	6	86
Engel (M)	18	17	13	7	70
Engelbert (M)	18	23	9	5	62
Engelbertus (M)	35	18	15	5	92
Engin (M)	69	73	41	17	236
Enis (M)	27	11	23	19	98
Ennio (M)	9	21	11	10	56
Enno (M)	15	17	17	21	79
Enrico (M)	83	140	162	140	567
Enrique (M)	17	21	43	91	195
Ensar (M)	3	12	22	24	96
Enver (M)	15	22	10	26	86
Enzio (M)	5	26	13	15	62
Enzo (M)	34	106	138	159	528
Ephraim (M)	4	4	6	10	29
Eppo (M)	7	5	3	5	27
Eran (M)	5	10	10	21	55
Eray (M)	19	28	41	132	274
Erben (M)	0	0	5	35	57
Ercan (M)	68	35	26	11	183
Erdal (M)	51	19	15	6	127
Erdem (M)	61	53	68	76	294
Erdi (M)	14	22	8	5	49
Erdinç (M)	14	23	11	5	60
Eren (M)	39	80	120	218	559
Ergin (M)	11	7	6	3	28
Ergün (M)	16	10	3	5	40
Erhan (M)	82	64	42	32	260
Eric (M)	976	732	426	217	2814
Eric-Jan (M)	25	5	7	2	50
Erick (M)	23	19	18	11	87
Ericus (M)	20	7	3	0	40
Erik (M)	3233	1967	1084	582	8280
Erik-Jan (M)	72	27	19	6	163
Erin (M)	8	14	20	12	60
Erkan (M)	107	92	53	33	358
Erman (M)	11	11	6	6	38
Ermin (M)	7	11	11	11	44
Ernest (M)	40	32	22	12	125
Ernesto (M)	25	22	33	39	144
Erno (M)	9	12	10	4	40
Ernst (M)	259	158	125	65	714
Ernst-Jan (M)	41	15	8	5	98
Erol (M)	45	36	32	19	162
Eros (M)	3	11	19	21	64
Errol (M)	26	37	19	7	106
Ersan (M)	19	12	6	6	56
Ersin (M)	51	50	33	32	208
Ertan (M)	9	11	15	9	52
Ertugrul (M)	17	21	21	15	80
Ertuğrul (M)	18	23	46	19	120
Ervin (M)	9	9	18	10	55
Erwin (M)	1718	1323	549	246	4574
Esad (M)	6	1	2	13	33
Esat (M)	4	18	10	9	46
Eser (M)	9	8	2	3	31
Esli (M)	19	23	35	20	109
Espen (M)	2	5	20	30	72
Esper (M)	5	2	6	16	35
Esra (M)	9	16	8	23	67
Esteban (M)	12	13	5	9	47
Ethan (M)	3	12	23	55	121
Ethem (M)	8	8	8	5	31
Etienne (M)	127	155	129	48	523
Etiènne (M)	5	12	9	1	29
Etiënne (M)	32	27	40	35	153
Euan (M)	2	2	5	11	30
Eugene (M)	23	25	16	11	88
Eugène (M)	44	28	18	11	123
Evan (M)	44	60	98	131	408
Evander (M)	1	17	13	13	47
Everardus (M)	53	32	18	15	140
Everhard (M)	12	15	8	5	49
Everhardus (M)	10	13	4	6	42
Evert (M)	755	543	467	323	2476
Evert-Jan (M)	46	27	31	14	143
Evren (M)	13	5	5	11	43
Ewald (M)	46	23	23	19	128
Ewan (M)	4	13	26	48	105
Ewoud (M)	163	124	99	60	510
Ewout (M)	203	175	138	66	689
Eyup (M)	13	6	5	6	36
Eyüp (M)	23	39	22	15	124
Ezra (M)	77	123	188	205	694
Faas (M)	4	1	7	31	80
Faber (M)	2	2	7	8	33
Fabian (M)	663	776	797	678	3377
Fabiano (M)	2	3	10	2	28
Fabien (M)	11	12	24	11	67
Fabio (M)	52	119	179	172	602
Fabrice (M)	6	21	25	29	94
Fabricio (M)	2	1	14	4	27
Fabrizio (M)	15	13	9	14	60
Fadi (M)	17	24	6	27	95
Fadil (M)	16	3	4	5	40
Fady (M)	1	8	11	12	38
Fahad (M)	13	20	18	8	67
Fahd (M)	25	30	24	28	134
Fahim (M)	11	10	4	13	46
Fahrettin (M)	2	9	7	3	27
Fahri (M)	17	16	3	4	49
Faik (M)	10	5	8	5	31
Faisal (M)	54	54	44	29	212
Faisel (M)	14	14	11	16	62
Faissal (M)	21	80	91	51	273
Faiz (M)	12	4	12	8	37
Faizel (M)	18	13	4	1	38
Falco (M)	58	127	84	64	369
Falko (M)	9	60	27	16	127
Faouzi (M)	27	37	42	20	139
Farah (M)	5	5	11	4	27
Fardin (M)	2	4	5	11	28
Fares (M)	7	8	8	10	42
Farhad (M)	24	25	14	16	97
Farhan (M)	9	13	5	14	54
Farid (M)	151	116	44	22	409
Faris (M)	8	17	32	58	154
Farley (M)	14	7	9	3	45
Farouk (M)	11	16	14	9	59
Farshad (M)	9	8	5	2	31
Faruk (M)	81	69	50	29	266
Fathi (M)	17	12	4	3	39
Fatih (M)	434	349	282	106	1341
Fausto (M)	5	4	12	6	31
Faycal (M)	2	9	16	8	38
Faysal (M)	125	41	37	19	267
Fayçal (M)	6	3	10	10	32
Fedde (M)	61	55	62	64	306
Federico (M)	10	20	7	10	57
Fedor (M)	29	31	17	26	128
Feije (M)	4	9	15	10	49
Feike (M)	54	34	52	38	215
Feiko (M)	16	21	21	12	83
Felipe (M)	10	21	16	27	90
Felix (M)	183	300	270	293	1234
Fenno (M)	11	18	15	26	88
Fer (M)	6	13	12	17	54
Ferdi (M)	224	166	102	94	684
Ferdie (M)	19	25	10	2	70
Ferdinand (M)	381	224	133	86	985
Ferdinandus (M)	18	8	1	5	54
Ferdy (M)	131	93	65	33	368
Ferenc (M)	13	17	16	20	79
Ference (M)	10	5	11	16	51
Ferhat (M)	158	135	112	70	539
Ferit (M)	16	14	7	2	44
Fernand (M)	14	13	5	5	46
Fernando (M)	110	96	75	91	436
Ferran (M)	8	5	12	13	52
Ferre (M)	1	3	8	20	43
Ferri (M)	2	2	22	8	36
Ferrie (M)	9	7	4	3	28
Ferris (M)	2	8	6	15	37
Ferron (M)	10	12	25	35	100
Ferry (M)	503	301	191	123	1361
Fevzi (M)	7	6	20	7	45
Feyyaz (M)	6	11	6	4	27
Feyzullah (M)	8	10	5	6	35
Figo (M)	1	0	1	38	59
Fikret (M)	21	11	7	9	62
Fikri (M)	50	28	20	12	142
Filip (M)	33	48	60	74	273
Filipe (M)	5	11	2	6	28
Filippus (M)	11	16	7	4	52
Fimme (M)	1	5	9	7	27
Fin (M)	1	2	6	21	45
Finley (M)	0	1	6	22	55
Finn (M)	22	65	135	1248	2539
Firas (M)	3	9	9	10	41
Firat (M)	40	58	31	25	166
Fjodor (M)	2	7	11	8	31
Flavio (M)	5	5	11	8	39
Flemming (M)	3	10	9	12	38
Flint (M)	2	4	9	27	67
Flip (M)	36	26	36	49	184
Floor (M)	50	55	38	23	202
Floran (M)	3	15	15	27	76
Florens (M)	17	8	13	16	66
Florent (M)	7	15	18	21	72
Florentijn (M)	6	12	7	6	36
Florentius (M)	12	20	16	18	73
Floriaan (M)	21	18	7	11	62
Florian (M)	226	352	317	298	1446
Florijn (M)	3	5	5	10	34
Floris (M)	760	1196	1579	1681	6225
Floris-Jan (M)	14	39	45	16	125
Florus (M)	22	21	14	9	83
Floyd (M)	38	77	66	69	283
Flynn (M)	4	7	8	44	92
Foeke (M)	12	17	10	7	49
Fokke (M)	111	80	56	49	342
Fokko (M)	22	22	18	5	79
Folkert (M)	148	168	116	83	599
Fons (M)	62	78	74	84	342
Foppe (M)	20	14	14	15	84
Fouad (M)	287	214	123	71	804
Francesco (M)	52	53	30	32	198
Francis (M)	63	58	47	21	230
Francisco (M)	74	38	31	30	212
Franciscus (M)	1154	706	346	187	3022
Franck (M)	11	9	15	6	49
Franco (M)	10	13	19	11	60
Francois (M)	8	10	8	6	40
Frank (M)	3469	2204	1414	649	9179
Franke (M)	21	15	19	15	80
Frankie (M)	14	10	10	2	40
Franklin (M)	72	85	82	34	325
Franky (M)	16	16	10	6	60
Frans (M)	482	375	286	175	1595
Fransiscus (M)	10	15	7	9	47
Franz (M)	17	5	5	3	42
François (M)	83	58	65	31	302
Fred (M)	42	30	18	12	123
Freddie (M)	20	13	12	2	58
Freddy (M)	93	59	36	18	255
Frederic (M)	25	16	7	4	65
Frederick (M)	69	71	48	28	254
Frederico (M)	5	7	4	7	31
Fredericus (M)	55	28	24	8	148
Frederik (M)	798	584	408	306	2569
Frederikus (M)	65	39	19	14	170
Fredrik (M)	32	33	28	23	149
Freek (M)	502	478	453	394	2122
Freerk (M)	77	52	33	23	227
Frenk (M)	25	31	46	30	147
Frenky (M)	8	7	8	5	31
Frens (M)	8	6	8	6	37
Frido (M)	12	4	5	0	30
Friedrich (M)	14	10	4	6	41
Friso (M)	93	181	229	227	833
Frits (M)	144	142	106	53	539
Frédéric (M)	12	5	4	6	32
Fuad (M)	12	10	15	8	53
Fuat (M)	21	11	8	3	50
Fulco (M)	8	12	4	4	37
Funs (M)	13	6	9	13	45
Furkan (M)	31	120	427	353	1025
Fynn (M)	4	7	10	37	92
Fábio (M)	7	6	7	5	27
Félix (M)	5	6	7	7	27
Fırat (M)	3	4	18	8	40
Gabe (M)	12	13	10	9	51
Gabor (M)	16	8	5	9	47
Gabriel (M)	49	66	61	111	363
Gabriël (M)	72	114	133	149	601
Gaby (M)	10	10	3	10	36
Gaetano (M)	4	14	15	5	41
Galid (M)	9	4	8	4	30
Ganesh (M)	8	10	5	4	29
Gareth (M)	11	8	1	3	27
Garry (M)	12	11	0	0	31
Gary (M)	74	64	19	9	192
Gaston (M)	24	33	23	6	98
Gauke (M)	16	9	8	10	50
Gavin (M)	41	73	87	70	309
Gazi (M)	22	6	8	2	42
Gaël (M)	2	7	10	7	30
Geart (M)	5	12	9	5	32
Geert (M)	918	695	481	370	2964
Geert-Jan (M)	60	46	30	18	185
Geerten (M)	19	27	29	18	109
Geertjan (M)	21	10	8	1	53
Gene (M)	11	14	15	12	63
Gennaro (M)	7	6	10	16	44
Geoffrey (M)	237	200	85	36	632
Geoffry (M)	11	12	2	1	28
Geordi (M)	0	4	21	12	37
Geordy (M)	3	6	13	8	32
Georg (M)	13	5	13	4	45
George (M)	300	209	157	97	891
Georges (M)	12	6	5	3	37
Georgino (M)	6	8	7	10	37
Georgio (M)	14	26	8	13	67
Georgios (M)	26	44	29	26	139
Georgius (M)	17	12	6	3	47
Ger (M)	11	9	3	6	42
Gerald (M)	146	97	63	28	400
Geraldo (M)	8	34	4	10	59
Gerard (M)	770	561	387	273	2452
Gerardo (M)	7	10	3	4	27
Gerardus (M)	1008	691	402	238	2914
Gerben (M)	571	506	408	295	2116
Gerbert (M)	30	20	12	13	84
Gerbrand (M)	46	20	36	21	147
Gerco (M)	38	30	36	23	143
Gerhard (M)	127	95	73	40	400
Gerhardus (M)	129	121	64	34	422
Gerjan (M)	80	80	62	57	324
Gerjon (M)	7	9	8	4	33
Gerke (M)	31	26	16	14	97
Gerko (M)	14	9	16	12	58
Gerlof (M)	51	36	19	16	152
Germ (M)	6	10	6	9	34
Germain (M)	23	15	10	18	79
Germaine (M)	17	12	9	4	50
Germen (M)	14	8	2	6	35
Geronimo (M)	11	26	33	25	105
Gerrald (M)	10	7	6	7	36
Gerrie (M)	12	10	6	3	41
Gerrit (M)	2348	1950	1574	1208	8533
Gerrit-Jan (M)	73	57	53	36	258
Gerritjan (M)	8	16	5	7	41
Gerry (M)	15	17	4	3	44
Gersom (M)	8	7	9	7	40
Gerson (M)	36	32	16	14	114
Gert (M)	210	141	103	94	664
Gert-Jan (M)	284	141	93	51	690
Gertjan (M)	219	129	63	38	553
Gerwin (M)	154	168	128	85	619
Geurt (M)	60	51	44	55	242
Gezinus (M)	15	14	15	9	65
Giacomo (M)	13	13	11	16	65
Gian (M)	18	30	27	59	152
Giancarlo (M)	25	30	20	15	107
Gianluca (M)	4	27	64	78	199
Gianni (M)	34	90	244	204	640
Gianno (M)	6	6	14	15	45
Gianny (M)	2	0	10	11	31
Giano (M)	5	9	6	17	45
Gideon (M)	215	234	219	196	1033
Gidion (M)	36	24	11	16	96
Gido (M)	57	97	73	64	334
Gidon (M)	5	11	12	5	35
Giedo (M)	17	14	10	2	53
Giel (M)	168	157	202	298	1012
Gies (M)	0	4	7	14	36
Gijs (M)	662	1042	1842	2315	7032
Gijsbert (M)	455	404	367	300	1818
Gijsbertus (M)	263	179	157	116	876
Gijsbrecht (M)	27	23	29	30	134
Gilano (M)	2	1	3	9	27
Gilbert (M)	83	53	24	27	217
Gilberto (M)	19	13	3	7	46
Giliam (M)	10	13	11	13	58
Gilian (M)	29	45	53	31	172
Giliano (M)	3	11	9	6	39
Gillermo (M)	4	6	5	6	27
Gilles (M)	55	75	94	101	377
Gillian (M)	25	42	63	34	179
Gilliano (M)	18	11	15	14	66
Gillis (M)	5	21	12	7	59
Gilmar (M)	13	7	7	3	37
Gino (M)	268	502	533	396	1872
Gio (M)	2	6	6	20	53
Giomar (M)	5	4	10	10	30
Giordano (M)	12	7	9	10	40
Giorgio (M)	66	126	122	64	415
Giovani (M)	6	13	17	7	48
Giovanni (M)	208	404	915	733	2580
Giovannie (M)	9	10	5	11	38
Giovanny (M)	12	16	44	91	203
Giuliano (M)	12	20	20	31	98
Giulio (M)	7	5	11	6	35
Giuseppe (M)	21	26	19	21	101
Givano (M)	2	3	9	10	33
Gjalt (M)	34	18	27	33	139
Glen (M)	66	62	43	19	209
Glenn (M)	635	1204	911	469	3435
Glenny (M)	9	13	2	2	29
Godefridus (M)	40	33	17	3	108
Godfried (M)	17	7	12	3	46
Gokhan (M)	32	2	2	1	59
Gommert (M)	7	10	2	5	27
Goof (M)	3	6	14	15	52
Gooitzen (M)	6	4	9	4	31
Goos (M)	1	6	17	16	53
Goossen (M)	11	5	15	4	37
Goran (M)	29	14	6	14	84
Gordon (M)	46	44	9	4	122
Gosse (M)	50	52	45	48	220
Govert (M)	86	71	60	59	319
Gradus (M)	46	38	25	29	173
Graeme (M)	5	6	10	3	27
Graham (M)	17	18	15	6	62
Greg (M)	8	9	11	5	37
Gregor (M)	27	33	31	14	117
Gregorius (M)	26	18	11	5	79
Gregory (M)	244	192	86	46	676
Griffin (M)	4	5	17	10	44
Gudo (M)	13	9	8	5	37
Guido (M)	752	848	633	311	2938
Guiliano (M)	5	10	7	2	30
Guillaume (M)	83	98	72	61	363
Guillermo (M)	71	75	56	56	293
Guilliano (M)	20	21	6	15	70
Guiseppe (M)	7	6	4	5	27
Guled (M)	17	18	10	7	55
Guleed (M)	4	12	10	1	29
Gunnar (M)	22	18	25	24	100
Gus (M)	0	8	8	15	47
Gustaaf (M)	56	49	28	26	182
Gustav (M)	14	15	16	13	68
Gustavo (M)	6	10	5	3	36
Guus (M)	319	499	676	772	2818
Guust (M)	5	7	2	15	35
Guy (M)	146	158	122	119	628
Guylian (M)	1	6	18	8	33
Guyon (M)	13	16	27	22	87
Gwen (M)	4	12	12	16	47
Gyan (M)	4	6	15	34	73
Gydo (M)	41	68	13	16	144
Gérard (M)	8	4	6	2	30
Gökan (M)	10	6	1	3	28
Gökay (M)	9	6	7	7	34
Gökhan (M)	231	125	47	32	558
Görkem (M)	0	3	21	25	58
Gürkan (M)	19	30	27	24	119
Güven (M)	13	7	10	7	47
Habib (M)	23	14	20	10	79
Haci (M)	64	71	53	32	252
Hacı (M)	8	1	15	11	44
Hadi (M)	5	0	10	10	36
Hafid (M)	50	32	8	5	123
Hai (M)	6	9	14	8	40
Haico (M)	22	28	17	10	87
Haidar (M)	22	13	7	3	51
Haider (M)	5	7	6	16	43
Haije (M)	10	11	9	3	39
Haiko (M)	25	18	11	7	76
Haitam (M)	0	6	27	62	111
Hajar (M)	8	24	13	3	53
Hajo (M)	18	18	26	16	93
Hakan (M)	218	234	199	88	843
Hakim (M)	92	75	34	32	284
