Naam	1985-1989	1990-1994	1995-1999	2000-2004	1983-2006
Amine (V)	17	16	26	21	97
Amira (V)	39	76	141	242	699
Amisha (V)	0	0	0	31	43
Amke (V)	16	20	43	32	127
Amna (V)	10	9	17	28	71
Amra (V)	13	20	13	16	73
Amrita (V)	23	22	21	5	79
Amy (V)	475	872	1286	1071	4547
Amé (V)	3	3	14	21	52
Amélie (V)	10	8	6	91	206
An (V)	11	17	20	26	84
Ana (V)	150	108	111	131	618
Anabel (V)	4	7	6	7	30
Anahita (V)	8	7	9	10	40
Anam (V)	9	11	4	3	27
Ananda (V)	19	23	15	21	86
Anandi (V)	5	8	9	6	29
Anastacia (V)	6	3	1	35	53
Anastasia (V)	56	69	76	115	378
Anastasija (V)	2	5	9	11	33
Anaïs (V)	7	29	38	41	158
Ancilla (V)	12	8	8	6	38
Andra (V)	12	9	11	7	43
Andrea (V)	643	463	307	162	1911
Andreia (V)	19	8	3	1	35
Andréa (V)	10	5	5	7	33
Anela (V)	13	17	7	5	46
Anemoon (V)	2	2	8	14	36
Anette (V)	15	10	7	1	40
Angel (V)	38	70	124	297	660
Angela (V)	1517	1304	617	341	4582
Angelica (V)	85	104	84	69	381
Angelie (V)	10	5	6	15	43
Angeliek (V)	7	12	5	2	33
Angelien (V)	21	8	5	1	43
Angelika (V)	13	21	8	5	55
Angelina (V)	118	133	115	196	773
Angeline (V)	53	37	31	30	185
Angelique (V)	935	715	373	171	2682
Angelle (V)	11	5	7	4	28
Angenita (V)	21	9	9	2	50
Angie (V)	51	42	58	50	234
Angèle (V)	18	11	12	4	59
Angéla (V)	38	22	6	1	80
Angélica (V)	29	34	34	23	127
Angélique (V)	86	56	26	11	245
Ani (V)	0	11	9	14	41
Anica (V)	9	16	13	14	57
Aniek (V)	349	467	577	582	2212
Anieke (V)	17	17	11	7	57
Anika (V)	180	114	108	107	578
Anina (V)	4	7	11	9	32
Anine (V)	7	3	4	10	27
Anique (V)	164	172	122	110	634
Anisa (V)	22	31	77	87	249
Anisha (V)	7	36	61	93	216
Anissa (V)	93	140	212	228	785
Anita (V)	841	441	208	91	2011
Anja (V)	372	216	114	64	1022
Anjali (V)	23	31	36	41	155
Anjana (V)	15	15	3	4	46
Anjani (V)	13	7	13	3	43
Anje (V)	68	37	37	23	197
Anjo (V)	11	11	5	1	32
Anjuli (V)	13	20	3	5	41
Ank (V)	12	11	12	3	45
Anka (V)	11	11	9	12	50
Anke (V)	698	596	392	248	2265
Ankie (V)	115	102	76	34	394
Ankje (V)	7	7	8	3	29
Anky (V)	7	2	12	17	45
Ann (V)	17	13	20	22	90
Anna (V)	3534	3512	3352	3704	16963
Anna-Louise (V)	7	3	5	7	27
Anna-Maria (V)	28	27	16	13	97
Anna-Marie (V)	7	4	6	7	32
Anna-Sophie (V)	1	7	9	10	34
Annabel (V)	117	230	349	399	1298
Annabella (V)	3	8	19	12	57
Annabelle (V)	50	96	121	124	481
Annalisa (V)	3	2	10	12	32
Annamaria (V)	14	13	9	8	49
Annamarie (V)	13	4	16	7	46
Anne (V)	3865	5077	5074	4371	20461
Anne-Britt (V)	7	7	6	8	37
Anne-Claire (V)	24	33	32	24	130
Anne-Fleur (V)	41	79	129	128	435
Anne-Floor (V)	17	15	14	22	82
Anne-Jet (V)	5	6	11	6	29
Anne-Linde (V)	0	18	9	7	40
Anne-Loes (V)	7	15	5	5	33
Anne-Lotte (V)	11	30	52	20	129
Anne-Louise (V)	4	9	4	6	28
Anne-Lynn (V)	1	7	5	15	43
Anne-Maria (V)	15	11	5	7	43
Anne-Marie (V)	123	66	46	25	346
Anne-Marieke (V)	17	20	4	1	51
Anne-Marije (V)	33	27	20	12	118
Anne-Marijn (V)	14	9	8	6	39
Anne-May (V)	6	3	9	7	29
Anne-Mieke (V)	8	6	4	4	31
Anne-Roos (V)	10	35	32	36	130
Anne-Ruth (V)	7	3	19	13	44
Anne-Sophie (V)	35	43	77	67	256
Anne-Wil (V)	20	42	37	15	123
Annebel (V)	38	63	60	58	251
Annebelle (V)	15	23	26	31	106
Annebeth (V)	13	12	7	5	41
Annechien (V)	41	47	28	18	181
Annefleur (V)	38	47	93	78	285
Annefloor (V)	9	13	15	17	64
Annegien (V)	12	10	7	6	49
Annegreet (V)	12	7	9	3	44
Annejet (V)	10	14	18	16	76
Anneke (V)	539	309	248	190	1612
Anneleen (V)	28	26	17	9	88
Annelein (V)	6	5	12	4	31
Anneli (V)	7	15	11	14	53
Annelie (V)	67	84	54	80	331
Annelieke (V)	136	111	77	52	440
Annelien (V)	62	40	42	19	188
Annelies (V)	512	305	185	84	1332
Annelijn (V)	22	23	14	18	86
Annelin (V)	3	5	9	24	52
Annelinde (V)	18	29	18	15	90
Anneline (V)	6	11	5	6	30
Annelise (V)	5	10	7	7	37
Anneloes (V)	264	274	154	60	861
Annelore (V)	16	22	17	17	81
Annelot (V)	36	103	89	115	376
