Naam	1985-1989	1990-1994	1995-1999	2000-2004	1983-2006
Ceylin (V)	0	0	3	9	33
Chabeli (V)	9	8	8	2	29
Chadia (V)	37	33	27	20	141
Chahida (V)	33	28	29	22	126
Chahira (V)	10	6	5	5	33
Chahrazad (V)	14	26	31	9	87
Chaima (V)	29	145	263	240	762
Chaimaa (V)	14	18	23	8	64
Chaimae (V)	45	100	201	240	646
Chaira (V)	0	6	11	20	44
Chaja (V)	13	12	25	18	82
Chakira (V)	3	7	8	18	45
Chaline (V)	1	9	14	12	39
Chama (V)	14	16	4	7	44
Chamilla (V)	3	4	11	6	27
Chana (V)	11	7	8	2	34
Chandeni (V)	4	12	8	5	31
Chandenie (V)	8	11	8	3	33
Chandni (V)	3	27	8	7	47
Chandra (V)	17	6	7	8	49
Chanel (V)	52	130	156	243	667
Chanell (V)	8	2	9	27	52
Chanella (V)	3	13	13	51	89
Chanelle (V)	7	16	16	31	82
Chanelva (V)	8	7	7	8	32
Chanice (V)	0	36	18	12	68
Chanika (V)	6	8	14	9	43
Chanine (V)	29	29	14	4	93
Chanique (V)	0	9	4	13	29
Channa (V)	56	43	48	54	227
Channah (V)	20	34	64	45	181
Chanou (V)	8	14	16	14	58
Chantal (V)	3904	3053	1638	856	11072
Chantall (V)	11	6	3	1	27
Chantalle (V)	106	78	37	11	265
Chantelle (V)	13	13	7	7	44
Chanté (V)	2	7	23	20	54
Charel (V)	21	35	31	13	108
Charell (V)	41	27	13	21	104
Charella (V)	10	26	18	10	67
Charelle (V)	23	133	68	40	270
Charifa (V)	19	22	13	13	74
Charina (V)	16	24	17	15	80
Charis (V)	13	11	10	9	48
Charisa (V)	8	13	16	7	51
Charise (V)	2	23	17	1	45
Charisma (V)	10	13	3	6	36
Charissa (V)	357	384	325	228	1599
Charisse (V)	4	14	12	6	42
Charita (V)	24	26	11	8	81
Charity (V)	61	72	68	47	278
Charlaine (V)	32	30	20	6	90
Charleen (V)	11	11	10	4	41
Charlene (V)	116	106	61	37	408
Charley (V)	18	35	42	34	137
Charlie (V)	22	35	42	79	213
Charline (V)	15	13	11	5	49
Charlize (V)	1	0	4	46	84
Charlot (V)	18	41	46	38	161
Charlotte (V)	2018	2645	2485	1901	10162
Charly (V)	3	8	6	13	34
Charlène (V)	8	13	10	21	76
Charléne (V)	6	5	2	7	27
Charmain (V)	6	24	11	10	52
Charmaine (V)	55	164	85	53	385
Charmayne (V)	32	20	10	5	68
Charon (V)	58	56	39	20	193
Charona (V)	17	15	9	8	56
Charèl (V)	3	17	12	12	46
Chavelli (V)	19	14	3	3	41
Chavelly (V)	5	3	7	10	34
Chaya (V)	20	19	22	40	116
Chayen (V)	0	4	10	17	40
Chayenna (V)	0	10	34	80	157
Chayenne (V)	42	118	326	388	1003
Chaymae (V)	9	39	70	68	211
Chaïma (V)	16	10	9	8	48
Chaïmae (V)	7	7	42	64	128
Chelly (V)	4	6	12	2	31
Chelsea (V)	10	194	388	354	1059
Chelsey (V)	4	48	124	209	448
Chelsy (V)	0	8	13	8	37
Chemène (V)	0	0	6	35	50
Chen (V)	6	7	13	10	39
Chenna (V)	1	6	13	25	56
Chenoa (V)	0	2	5	55	102
Cher (V)	20	37	15	5	81
Cheraine (V)	0	27	31	1	59
Cherell (V)	6	12	3	4	27
Cherelle (V)	33	108	34	18	194
Cherida (V)	10	12	14	5	45
Cherilyn (V)	9	11	6	9	37
Cherina (V)	3	13	8	3	31
Cherinda (V)	20	11	2	2	36
Cherine (V)	8	7	14	18	57
Cherique (V)	8	25	19	11	65
Cherise (V)	21	23	42	28	130
Cherish (V)	42	16	7	3	98
Cherissa (V)	10	16	9	8	48
Chermaine (V)	14	23	19	12	72
Cherrel (V)	10	9	3	3	27
Cherrelle (V)	21	18	10	0	50
Cherry (V)	14	13	6	2	41
Cherryl (V)	26	24	10	5	72
Cheryl (V)	294	328	153	77	952
Cheryll (V)	15	20	10	5	57
Cheverny (V)	1	9	14	8	37
Cheyenna (V)	0	9	22	36	75
Cheyenne (V)	70	344	1014	668	2286
Chi (V)	24	22	23	14	99
Chiara (V)	107	145	355	413	1197
Chimène (V)	1	1	42	357	444
Chiméne (V)	0	3	1	25	32
Ching (V)	22	6	5	5	49
Chinook (V)	2	9	12	9	34
Chinouk (V)	6	29	36	49	128
Chirine (V)	2	7	14	19	53
Chislaine (V)	12	5	9	2	29
Chloe (V)	11	21	20	34	99
Chloé (V)	38	93	108	104	400
Chloë (V)	49	109	192	318	833
Chris (V)	33	47	81	76	271
Chrisje (V)	12	5	19	11	53
Chrissie (V)	22	20	5	6	57
Chrissy (V)	75	56	48	29	223
Christa (V)	298	209	144	79	848
Christal (V)	9	7	4	3	29
Christel (V)	382	361	234	178	1392
Christelle (V)	5	9	11	3	33
Christi (V)	6	5	12	4	33
Christiana (V)	46	35	31	13	152
Christiane (V)	44	34	18	11	124
Christianne (V)	81	81	57	35	297
Christie (V)	17	25	39	26	121
Christien (V)	51	35	34	20	163
Christiena (V)	10	6	3	2	27
Christina (V)	782	698	475	346	2730
Christine (V)	355	292	248	147	1231
Christy (V)	48	96	108	80	364
Chrystal (V)	6	11	10	14	45
Chrystel (V)	3	8	12	6	34
Chyenne (V)	3	4	8	9	27
Chérise (V)	5	13	12	7	41
Ciara (V)	6	26	15	40	125
Cigdem (V)	16	8	4	1	42
Cilia (V)	17	17	23	19	85
Cilla (V)	8	13	16	11	53
Cindel (V)	10	12	8	5	35
Cinderella (V)	59	36	10	8	138
Cindy (V)	1325	1014	530	293	3772
Cinthia (V)	32	35	16	5	99
Ciska (V)	81	70	55	45	310
Cissy (V)	8	15	4	0	33
Claartje (V)	21	24	10	18	86
Clair (V)	13	12	11	2	47
Claire (V)	444	511	507	412	2135
Clara (V)	130	116	88	65	467
Clare (V)	8	7	6	4	29
Clarice (V)	6	4	6	8	31
Clarissa (V)	58	52	44	31	212
Clarisse (V)	11	8	6	5	33
Clasina (V)	85	56	35	32	259
Claudette (V)	11	12	13	5	45
Claudia (V)	1400	1242	916	384	4697
Claudine (V)	35	39	27	14	137
Claudy (V)	10	11	8	4	37
Clazina (V)	46	29	28	11	141
Clementine (V)	17	17	9	13	69
Cleo (V)	34	83	62	86	322
Cloé (V)	1	7	8	8	27
Cloë (V)	2	10	19	27	66
Cléo (V)	3	1	9	10	30
Coby (V)	32	29	16	11	98
Coco (V)	38	96	78	81	341
Colette (V)	64	62	41	19	209
Colinda (V)	109	81	38	11	280
Colleen (V)	4	13	11	7	36
Conchita (V)	28	21	31	11	98
Connie (V)	20	20	7	2	64
Conny (V)	24	17	13	8	83
Constance (V)	23	28	33	22	132
Consuela (V)	17	7	3	2	35
Coosje (V)	4	2	16	23	49
Cora (V)	39	20	15	4	101
Coralie (V)	14	7	5	7	39
Corianne (V)	8	10	7	6	33
Corien (V)	66	33	19	4	146
Corina (V)	121	69	47	29	350
Corinda (V)	18	19	6	8	57
Corine (V)	228	150	82	38	612
Corinna (V)	12	12	6	0	37
Corinne (V)	82	35	17	5	196
Cornelia (V)	2168	1702	1257	857	7257
Cornelie (V)	14	25	15	17	81
Cornelieke (V)	10	8	6	3	31
Corrie (V)	27	28	17	19	116
Corrine (V)	18	4	1	0	28
Corry (V)	9	11	9	2	34
Courtney (V)	7	25	51	16	103
Crissy (V)	11	5	8	8	35
Crista (V)	21	16	5	3	48
Cristel (V)	36	26	21	10	133
Cristina (V)	38	44	19	22	137
Cristy (V)	2	8	8	7	30
Crystal (V)	16	15	30	33	116
Cunera (V)	5	11	5	6	28
Cyanne (V)	2	8	11	16	42
Cynthia (V)	1039	1222	712	294	3657
Cyrelle (V)	7	11	12	8	40
Cyrilla (V)	7	13	8	3	35
Cyrille (V)	6	12	4	10	43
Cyrina (V)	12	6	3	2	28
Cécile (V)	43	49	47	55	226
Céleste (V)	7	18	31	28	102
Célina (V)	7	3	11	5	32
Céline (V)	161	229	528	189	1200
Cézanne (V)	11	7	13	12	50
Daan (V)	2	5	27	69	129
Daantje (V)	3	3	31	140	254
Dafina (V)	4	0	4	16	28
Dafne (V)	33	40	38	29	159
Dagmar (V)	211	206	292	373	1289
Dahlia (V)	3	5	5	10	32
Daimy (V)	0	11	120	138	324
Daisy (V)	1450	1150	739	446	4265
Dajana (V)	12	21	16	7	59
Dakota (V)	0	11	9	15	52
Dalal (V)	12	13	13	10	53
Dali (V)	2	4	11	11	32
Dalia (V)	16	20	23	27	111
Dalila (V)	33	28	38	48	181
Dalya (V)	0	4	5	10	27
Damanja (V)	5	3	15	6	42
Damaris (V)	18	31	28	23	133
Damini (V)	0	5	24	16	50
Damla (V)	39	95	79	81	334
Damy (V)	0	8	10	9	29
Dana (V)	165	264	472	551	1748
Danae (V)	3	7	19	51	109
Danaé (V)	0	1	25	43	77
Danaë (V)	7	5	8	9	34
Danee (V)	1	1	5	51	72
Dani (V)	16	19	46	91	239
Dania (V)	14	9	30	30	107
Danica (V)	7	28	18	29	113
Danice (V)	1	7	14	14	39
Daniek (V)	37	102	288	327	852
Danieke (V)	6	11	14	7	40
Daniela (V)	77	77	43	41	282
Daniella (V)	49	51	35	32	205
Danielle (V)	405	244	126	70	1074
Danijela (V)	9	14	6	5	54
Danika (V)	3	6	8	12	34
Danila (V)	10	9	8	14	49
Danine (V)	15	11	13	22	68
Danique (V)	301	1037	1748	1909	5566
Danischa (V)	0	3	17	17	53
Danisha (V)	2	16	46	153	303
Danita (V)	5	9	20	10	52
Danitia (V)	10	7	13	8	40
Danitsja (V)	23	25	45	23	147
Daniël (V)	6	13	14	1	40
Daniëla (V)	43	33	34	28	165
Daniëlla (V)	196	148	117	74	620
Daniëlle (V)	3004	2576	1935	1131	10051
Danja (V)	28	32	25	15	109
Danjella (V)	10	10	9	6	39
Danne (V)	5	0	4	14	40
Danni (V)	1	6	18	16	46
Danniek (V)	0	6	10	8	27
Dannique (V)	1	8	11	12	36
Danny (V)	19	10	8	4	50
Dante (V)	0	2	20	32	68
Danya (V)	12	16	5	12	58
Dané (V)	0	3	27	34	78
Danée (V)	0	1	1	46	64
Daphna (V)	15	9	2	2	44
Daphne (V)	1689	1884	2573	1457	8568
Daphny (V)	18	6	5	1	31
Dara (V)	3	11	20	35	84
Darcy (V)	14	8	21	10	53
Daria (V)	11	14	16	12	69
Darinka (V)	11	9	2	5	28
Darja (V)	8	7	6	12	44
Darlene (V)	16	20	12	7	58
Darya (V)	4	3	3	12	33
Dascha (V)	11	9	11	2	34
Davida (V)	10	13	17	11	62
Davina (V)	29	30	38	48	172
Davine (V)	10	11	12	7	47
Davinia (V)	13	2	2	3	32
Davita (V)	8	12	19	12	59
Dawn (V)	12	32	32	25	110
Daya (V)	7	6	9	11	43
Dayanara (V)	9	4	3	7	30
Dayenne (V)	56	59	31	27	229
Dayna (V)	7	10	26	36	93
Deanne (V)	6	9	11	10	45
Debbie (V)	707	430	233	79	1804
Debby (V)	449	304	195	75	1297
Debora (V)	271	135	144	99	854
Deborah (V)	1210	913	524	282	3492
Debra (V)	23	37	16	6	91
Deena (V)	1	3	10	13	32
Defne (V)	7	11	29	39	109
Deirdre (V)	37	52	40	25	183
Delal (V)	4	5	10	6	27
Delana (V)	2	7	11	32	63
Delany (V)	1	6	8	11	31
Delayla (V)	0	9	5	13	33
Delia (V)	14	17	19	13	71
Deliana (V)	12	11	14	10	53
Delicia (V)	1	8	5	13	33
Delila (V)	8	6	6	8	33
Delilah (V)	10	38	30	49	157
Delina (V)	3	8	9	8	33
Delphine (V)	10	19	22	27	93
Demelsa (V)	12	11	11	11	53
Demelza (V)	105	63	24	17	281
Demet (V)	76	82	27	13	215
Demi (V)	13	645	3752	2995	8158
Demie (V)	0	7	18	10	38
Demy (V)	2	54	228	184	529
Dena (V)	6	18	37	50	142
Denice (V)	145	141	153	89	579
Deniece (V)	34	24	8	5	82
Denisa (V)	6	6	12	7	39
Denise (V)	2469	2960	2221	1236	9682
Denisha (V)	0	1	9	21	37
Deniz (V)	60	66	33	45	246
Denyse (V)	10	3	5	5	27
Derkje (V)	27	28	14	14	96
Derya (V)	279	175	120	62	746
Desi (V)	44	58	72	70	291
Desie (V)	11	8	7	2	32
Desiree (V)	480	374	212	125	1373
Desireé (V)	21	22	9	10	65
Desiré (V)	97	60	45	16	257
Desirée (V)	414	241	141	75	1054
Desley (V)	6	9	16	6	44
Desteney (V)	0	1	36	38	90
Desteny (V)	0	16	48	48	139
Destina (V)	0	7	12	14	37
Destiny (V)	3	27	133	268	541
Deveney (V)	0	63	116	53	241
Deveny (V)	0	7	202	78	295
Devi (V)	6	8	38	42	104
Devika (V)	26	34	27	19	121
Devina (V)	5	6	8	3	29
Devon (V)	0	16	5	12	40
Dewi (V)	224	286	496	669	1971
Dewika (V)	9	9	11	5	34
Dewy (V)	30	52	86	66	262
Dian (V)	26	123	210	160	576
Diana (V)	628	399	233	170	1900
Diandra (V)	50	46	17	14	134
Diane (V)	136	112	36	26	416
Dianne (V)	164	222	179	111	785
Diantha (V)	31	39	28	27	144
Dianthe (V)	4	9	13	12	43
Diba (V)	2	5	8	12	38
Dicky (V)	11	6	8	6	43
Dicle (V)	3	2	17	22	49
Dide (V)	5	47	44	63	187
Didem (V)	16	36	46	33	143
Didi (V)	70	119	111	76	424
Dido (V)	7	14	8	20	65
Diede (V)	15	228	181	197	698
Dieke (V)	49	51	59	52	239
Diena (V)	18	15	12	9	63
Dieneke (V)	19	16	8	10	64
Dienke (V)	9	5	9	5	31
Dieudonnée (V)	18	10	11	2	51
Dieuwertje (V)	181	158	113	85	638
Dieuwke (V)	134	117	91	59	459
Diewertje (V)	35	23	22	16	118
Digna (V)	29	12	13	8	93
Dijana (V)	21	12	6	3	47
Dikra (V)	27	33	25	63	196
Dila (V)	5	2	7	18	52
Dilan (V)	32	80	123	126	397
Dilana (V)	7	6	14	50	104
Dilara (V)	11	95	336	429	993
Dilay (V)	3	5	25	38	99
Dilber (V)	19	17	8	5	60
Dilek (V)	176	107	57	21	432
Diliana (V)	8	9	3	0	29
Dilâra (V)	2	52	95	28	181
Dilåra (V)	0	0	0	41	41
Dima (V)	3	2	3	14	31
Dimara (V)	1	6	11	10	35
Dimitra (V)	9	7	15	4	41
Dimphina (V)	9	13	7	1	40
Dimphna (V)	15	8	6	2	36
Dimphy (V)	35	58	57	33	206
Dina (V)	186	204	232	374	1277
Dinah (V)	10	17	10	14	59
Dinanda (V)	8	9	5	3	28
Dineke (V)	48	54	25	21	179
Dingena (V)	30	25	32	22	135
Dini (V)	5	10	9	10	44
Dinie (V)	8	8	12	11	47
Dinja (V)	39	30	12	12	110
Diny (V)	12	13	15	17	72
Dion (V)	20	22	68	48	176
Diona (V)	4	2	11	5	31
Dione (V)	5	4	40	95	187
Dionne (V)	269	319	371	239	1339
Dionysia (V)	10	22	11	5	49
Dirkje (V)	365	321	302	289	1515
Dita (V)	11	2	6	5	29
Ditta (V)	10	9	7	4	35
Ditte (V)	10	17	24	22	85
Divera (V)	10	15	11	10	54
Divine (V)	3	2	8	13	36
Diya (V)	1	0	3	11	53
Djamila (V)	21	30	31	21	116
Djamilla (V)	41	55	71	63	244
Djenna (V)	5	4	13	33	74
Djoeke (V)	33	56	39	40	201
Djoni (V)	0	1	2	43	49
Djuna (V)	7	10	21	22	71
Djura (V)	9	10	19	16	66
Doenja (V)	10	17	19	14	77
Doetje (V)	17	9	1	4	36
Doha (V)	3	9	9	28	67
Dolly (V)	9	7	4	2	29
Dolores (V)	9	13	23	34	94
Domenica (V)	7	6	34	26	80
Domenique (V)	15	23	12	8	63
Dominic (V)	8	7	6	8	33
Dominica (V)	10	11	4	8	47
Dominiek (V)	7	9	14	2	37
Dominique (V)	856	1218	1141	700	4297
Domino (V)	1	14	10	6	32
Donatella (V)	2	7	3	18	31
Donia (V)	4	27	14	16	73
Donja (V)	50	60	50	33	217
Donna (V)	87	298	365	575	1598
Donya (V)	15	19	34	25	104
Door (V)	1	5	11	10	30
Doortje (V)	31	45	68	72	255
Dora (V)	30	26	29	60	169
Dorcas (V)	1	4	10	13	37
Dore (V)	16	4	12	5	40
Doreen (V)	37	31	41	19	147
Dorenda (V)	9	12	3	3	34
Dorette (V)	16	8	6	3	39
Dorian (V)	15	21	13	8	63
Dorianne (V)	12	14	10	4	43
Dorieke (V)	15	19	12	8	66
Dorien (V)	403	338	259	113	1322
Dorina (V)	12	10	5	6	43
Dorinda (V)	31	29	16	12	98
Dorinde (V)	6	11	18	5	44
Dorine (V)	93	83	54	33	303
Doris (V)	46	84	130	124	463
Dorith (V)	18	13	9	10	57
Dorothea (V)	109	94	80	31	384
Dorothy (V)	31	22	14	4	89
Dorothé (V)	11	4	5	6	31
Dorothée (V)	12	7	5	2	32
Dorris (V)	9	16	8	6	42
Dorrit (V)	9	14	5	2	32
Douaa (V)	1	4	4	10	28
Douae (V)	0	2	4	44	102
Douha (V)	0	2	6	14	32
Dounia (V)	88	128	196	244	782
Dounya (V)	2	6	3	18	37
Doutsen (V)	5	6	4	5	35
Doutzen (V)	6	5	4	6	35
Douwina (V)	15	8	10	7	45
Dragana (V)	22	14	8	0	49
Driesje (V)	13	9	10	4	42
Drifa (V)	12	8	1	2	29
Dudu (V)	12	14	7	4	46
Dunia (V)	7	3	12	5	32
Dunja (V)	43	63	60	66	280
Dunya (V)	12	12	30	86	204
Durkje (V)	4	9	2	10	30
Duygu (V)	90	138	76	68	400
Dyan (V)	5	12	13	17	52
Dyanne (V)	4	15	15	28	75
Dyantha (V)	12	31	18	17	85
Dylana (V)	1	2	9	50	88
Dymphna (V)	19	19	9	14	70
Dymphy (V)	11	19	15	7	55
Dyon (V)	4	8	14	5	34
Dyonne (V)	41	84	65	45	259
Démi (V)	0	9	14	10	36
Dénise (V)	8	14	7	1	33
Désiree (V)	41	29	24	8	113
Désiré (V)	22	8	3	0	38
Désirée (V)	158	120	61	26	443
Döndü (V)	34	21	15	11	90
Döne (V)	17	17	6	2	49
Dünya (V)	0	3	12	20	44
Ebba (V)	1	0	10	13	31
Ebony (V)	21	23	36	54	147
Ebrar (V)	1	4	13	30	62
Ebru (V)	234	363	199	86	960
Ece (V)	2	6	31	49	99
Ecem (V)	0	8	17	22	53
Echica (V)	0	0	28	6	34
Eda (V)	36	111	144	84	405
Edanur (V)	3	4	37	57	112
Eden (V)	10	18	42	54	160
Edina (V)	18	12	10	13	66
Edine (V)	10	14	2	6	33
Edita (V)	8	6	9	4	31
Edith (V)	117	72	68	45	378
Edmee (V)	9	11	2	5	31
Edmée (V)	21	15	11	3	61
Edna (V)	9	7	12	14	50
Edwina (V)	14	4	8	4	34
Eef (V)	38	48	49	78	273
Eefje (V)	310	172	177	174	1062
Eefke (V)	78	57	45	53	296
Eeke (V)	22	20	26	25	110
Eelke (V)	31	17	24	15	114
Eelkje (V)	37	24	26	15	134
Egberdina (V)	42	30	20	20	128
Egbertje (V)	15	10	6	2	45
Eibertje (V)	20	14	8	5	54
Eileen (V)	57	110	115	60	383
Eilish (V)	0	9	23	2	35
Ekaterina (V)	17	11	9	7	57
Eke (V)	16	27	26	35	132
Ekram (V)	33	13	7	4	62
El (V)	12	4	8	1	31
Ela (V)	13	10	11	41	116
Elaine (V)	115	128	90	68	455
Elana (V)	3	8	7	17	46
Elanur (V)	3	9	35	73	154
Elbertha (V)	6	12	5	2	29
Elbrich (V)	19	19	27	16	97
Elcke (V)	21	20	5	7	64
Eleanor (V)	17	24	30	26	116
Eleanora (V)	7	5	5	11	34
Elena (V)	107	105	172	320	901
Elene (V)	6	10	2	10	33
Eleni (V)	16	38	16	18	104
Eleonoor (V)	6	7	11	5	34
Eleonora (V)	153	144	105	107	602
Eleonore (V)	35	36	33	29	162
Elfi (V)	9	9	15	15	60
Elfie (V)	3	3	6	12	32
Elham (V)	14	12	11	10	57
Elia (V)	8	15	5	6	40
Elian (V)	16	14	18	3	56
Eliana (V)	12	10	11	21	82
Eliane (V)	45	32	45	20	159
Elianne (V)	84	120	103	73	432
Elien (V)	39	63	48	22	186
Eliene (V)	11	11	5	7	38
Elif (V)	193	229	212	186	1000
Elife (V)	10	9	6	6	41
Elin (V)	34	45	37	149	382
Elina (V)	36	56	66	105	324
Eline (V)	1422	2578	2575	2056	9731
Elisa (V)	284	450	590	583	2238
Elisabet (V)	18	16	10	12	68
Elisabeth (V)	2967	2539	1644	1213	9962
Elisah (V)	39	26	14	20	125
Elise (V)	686	1045	917	1044	4430
Elisha (V)	6	15	20	35	115
Elissa (V)	8	10	12	14	58
Eliz (V)	0	2	11	11	30
Eliza (V)	110	147	138	152	674
Elizabet (V)	14	19	5	4	49
Elizabeth (V)	986	844	630	546	3636
Elizaveta (V)	4	6	7	8	29
Elize (V)	83	87	70	108	520
Elja (V)	18	29	19	20	95
Elke (V)	377	354	282	286	1526
Ella (V)	88	138	268	394	1158
Elle (V)	51	60	66	115	365
Elleke (V)	96	47	16	7	184
Ellemiek (V)	4	7	2	12	34
Ellemieke (V)	5	9	8	11	48
Ellemijn (V)	1	16	34	54	137
Ellen (V)	1778	1253	748	394	5134
Ellenoor (V)	4	4	7	7	29
Elles (V)	141	172	119	74	567
Ellie (V)	22	10	11	17	77
Ellis (V)	174	194	183	133	800
Elly (V)	46	41	47	37	205
Elma (V)	49	50	55	53	245
Elmas (V)	37	31	8	10	102
Elmira (V)	13	16	25	22	81
Elnaz (V)	13	6	2	0	27
Elodie (V)	26	47	39	48	180
Eloise (V)	9	10	9	20	72
Elora (V)	1	15	18	13	57
Eloïse (V)	3	6	16	25	71
Els (V)	243	159	127	73	738
Elsa (V)	63	102	78	123	438
Elsbeth (V)	84	58	37	22	260
Else (V)	120	134	155	115	611
Elseline (V)	5	11	7	8	39
Elsemiek (V)	32	77	36	7	159
Elsemieke (V)	54	93	54	27	236
Elsien (V)	10	5	3	2	27
Elsina (V)	11	8	6	4	35
Elsje (V)	67	41	34	30	215
Elske (V)	204	176	102	57	628
Elvan (V)	15	20	12	21	85
Elvera (V)	50	47	23	12	140
Elvi (V)	4	2	8	7	28
Elvie (V)	1	2	5	9	27
Elvira (V)	329	219	143	170	1063
Elvire (V)	11	5	7	2	31
Elyne (V)	8	8	14	18	59
Elysa (V)	4	14	18	14	55
Elyse (V)	28	45	28	33	152
Elza (V)	17	46	27	48	158
Elze (V)	40	29	54	26	171
Elâ (V)	3	9	4	15	44
Ema (V)	5	5	4	20	46
Eman (V)	11	17	4	17	52
Emanuela (V)	15	18	13	7	63
Emanuelle (V)	6	12	11	7	41
Emel (V)	93	59	29	12	233
Emelia (V)	4	10	4	2	29
Emelie (V)	11	24	24	42	125
Emeline (V)	1	14	6	7	37
Emely (V)	22	32	33	30	131
Emerentia (V)	9	5	7	6	33
Emerentiana (V)	13	5	4	2	28
Emese (V)	1	6	36	8	57
Emi (V)	4	9	11	22	63
Emie (V)	3	11	13	12	46
Emilia (V)	31	38	53	86	266
Emilie (V)	158	170	148	101	691
Emily (V)	188	424	652	441	1985
Emina (V)	43	34	43	24	175
Emine (V)	314	252	171	111	1022
Emira (V)	7	5	5	10	30
Emke (V)	11	18	22	22	92
Emma (V)	738	1533	2996	3833	10665
Emmaly (V)	2	11	19	6	42
Emmanuela (V)	2	8	10	6	31
Emmanuella (V)	4	4	4	9	27
Emmanuelle (V)	8	4	11	11	41
Emme (V)	1	2	4	13	27
Emmeke (V)	6	6	10	7	34
Emmelie (V)	27	54	31	34	165
Emmelien (V)	5	6	13	3	34
Emmeline (V)	20	35	27	12	106
Emmely (V)	44	69	85	43	267
Emmi (V)	6	5	10	13	39
Emmie (V)	27	28	50	25	152
Emmily (V)	7	8	9	3	28
Emmy (V)	174	192	236	140	840
Emre (V)	12	12	3	2	29
Emy (V)	38	57	87	93	361
Ena (V)	12	17	14	11	61
Engelien (V)	4	8	4	4	28
Engelina (V)	82	61	51	26	270
Engeltje (V)	18	10	7	7	55
Enise (V)	8	16	26	32	92
Enna (V)	4	4	7	28	53
Enola (V)	1	1	21	58	93
Enya (V)	11	33	41	40	147
Enza (V)	0	5	3	16	33
Erica (V)	183	138	74	46	557
Erika (V)	108	88	61	41	367
Erin (V)	37	54	64	114	327
Erinn (V)	5	5	9	12	37
Erna (V)	54	37	24	26	167
Ernestine (V)	9	6	4	2	28
Erva (V)	0	1	22	65	113
Esen (V)	21	15	6	2	60
Esengül (V)	11	9	5	4	38
Esha (V)	4	6	6	20	50
Esin (V)	28	19	22	18	95
Eske (V)	7	9	7	5	30
Eslem (V)	1	0	9	19	45
Esli (V)	11	17	13	11	55
Esma (V)	126	164	167	172	777
Esmanur (V)	0	2	13	18	62
Esmaralda (V)	19	16	3	8	58
Esmay (V)	20	43	190	168	478
Esme (V)	15	14	9	6	51
Esmee (V)	153	672	1140	1851	4422
Esmeralda (V)	382	404	320	283	1657
Esmeray (V)	4	4	7	12	33
Esmeé (V)	11	27	76	101	238
Esmiralda (V)	47	43	24	6	147
Esmé (V)	74	135	161	93	524
Esmée (V)	203	574	1305	1340	3921
Esperanza (V)	11	10	15	37	91
Esra (V)	306	610	475	399	1955
Esraa (V)	1	5	12	12	34
Esri (V)	3	7	3	6	45
Estella (V)	10	19	24	29	103
Estelle (V)	47	83	156	233	620
Ester (V)	194	175	79	66	625
Esther (V)	3521	2770	1816	1116	10981
Estrella (V)	19	22	20	35	110
Estée (V)	6	20	27	38	103
Eugenia (V)	6	11	7	6	32
Eugenie (V)	31	28	23	13	112
Eunice (V)	42	36	23	33	163
Euphemia (V)	10	6	7	2	29
Eva (V)	2108	2768	3297	3472	13855
Evalien (V)	10	15	9	6	51
Evaline (V)	6	11	10	5	43
Evangeline (V)	3	6	13	4	28
Evanne (V)	3	6	12	15	44
Eve (V)	8	7	24	35	89
Evelien (V)	1432	971	674	399	4166
Eveliene (V)	66	29	21	12	155
Evelijn (V)	17	4	22	17	74
Evelina (V)	56	21	15	11	148
Eveline (V)	925	643	465	280	2823
Evelyn (V)	121	119	66	55	455
Evelyne (V)	45	42	28	33	181
Everarda (V)	10	14	7	5	39
Everdina (V)	139	94	76	63	441
Everdine (V)	7	11	1	3	28
Evertine (V)	6	12	5	6	30
Evertje (V)	98	80	74	69	391
Evi (V)	74	191	410	677	1785
Evianne (V)	19	18	23	13	79
Evie (V)	34	72	142	283	629
Evin (V)	3	10	10	9	34
Evita (V)	91	103	96	90	440
Evy (V)	57	163	262	421	1156
Ewa (V)	15	10	5	3	45
Eylem (V)	10	9	15	11	53
Ezgi (V)	27	65	80	68	263
Ezra (V)	18	50	55	70	228
Fabiana (V)	14	17	17	7	67
Fabianne (V)	5	14	8	3	35
Fabienne (V)	164	205	341	312	1148
Fabiola (V)	35	32	22	14	117
Fabiènne (V)	4	16	11	20	61
Fabiën (V)	2	7	14	27	60
Fabiënne (V)	118	186	516	608	1598
Fadila (V)	17	12	10	4	47
Fadime (V)	85	70	49	33	283
Fadma (V)	23	10	6	0	56
Fadoua (V)	210	172	85	41	605
Faduma (V)	16	31	30	11	97
Fadumo (V)	26	17	8	5	66
Fadwa (V)	4	7	5	8	28
Fae (V)	1	1	0	12	32
Fahima (V)	21	21	5	8	73
Fairouz (V)	10	15	14	12	62
Faisa (V)	10	9	9	4	33
Faith (V)	5	15	59	164	333
Faiza (V)	65	70	47	33	253
Fajah (V)	0	0	0	13	35
Fallon (V)	26	34	20	10	115
Famke (V)	44	23	258	534	1069
Fannie (V)	11	8	7	2	32
Fanny (V)	137	83	40	33	345
Faouzia (V)	12	8	1	7	34
Farah (V)	144	196	183	207	876
Farahnaz (V)	13	15	1	1	36
Fardau (V)	27	22	53	69	214
Fardou (V)	1	8	6	12	35
Farha (V)	14	12	4	7	42
Farhana (V)	6	14	5	6	33
Farhiya (V)	7	10	7	4	31
Farida (V)	137	84	33	29	357
Farina (V)	10	7	11	5	39
Farisha (V)	11	13	16	6	57
